time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: 0.0010979999999999983
time: 115.0, P0: 0.9821423853796538, P1: 0.015026066166365122, P2: 0.0028315484539806453, TI2: 0.0017871630743264122
time: 116.0, P0: 0.9821428302218532, P1: 0.015025650363643749, P2: 0.002831519414502683, TI2: 0.001786689192649112
time: 117.0, P0: 0.9821451749477915, P1: 0.01502073130366387, P2: 0.002834093748544154, TI2: 0.001786918800752177
time: 118.0, P0: 0.982143387138804, P1: 0.015025597117039746, P2: 0.002831015744155778, TI2: 0.0017856286053513
time: 119.0, P0: 0.9821463058202743, P1: 0.015019312094305839, P2: 0.0028343820854194695, TI2: 0.001786076265144778
time: 120.0, P0: 0.9821443446778769, P1: 0.015024581976328296, P2: 0.002831073345794292, TI2: 0.0017847286679168785
time: 121.0, P0: 0.9821480712902643, P1: 0.015016376877320967, P2: 0.002835551832414267, TI2: 0.0017854805421494988
time: 122.0, P0: 0.9821447734892339, P1: 0.015024806296049326, P2: 0.0028304202147162913, TI2: 0.0017836467254819075
time: 123.0, P0: 0.9821492865715145, P1: 0.015014732020424491, P2: 0.002835981408060598, TI2: 0.001784694836545685
time: 124.0, P0: 0.9821481240754594, P1: 0.01501809750489793, P2: 0.0028337784196421903, TI2: 0.0017836543441823094
time: 125.0, P0: 0.982144723721631, P1: 0.015026760326455653, P2: 0.002828515951912924, TI2: 0.0017817922302814995
time: 126.0, P0: 0.982149704414706, P1: 0.015015569043134313, P2: 0.00283472654215933, TI2: 0.0017830221274529718
time: 127.0, P0: 0.9821459242535829, P1: 0.015025125217446707, P2: 0.002828950528969899, TI2: 0.0017810262753865033
time: 128.0, P0: 0.9821501916231266, P1: 0.015015617262448027, P2: 0.002834191114425037, TI2: 0.0017819994912980995
time: 129.0, P0: 0.9821476469325608, P1: 0.015022240970134096, P2: 0.002830112097304673, TI2: 0.0017804651647434398
time: 130.0, P0: 0.9821514089157011, P1: 0.015013923899608792, P2: 0.002834667184689787, TI2: 0.0017812582689883648
time: 131.0, P0: 0.9821493416029683, P1: 0.015019410790341832, P2: 0.0028312476066894967, TI2: 0.0017799060037208255
time: 132.0, P0: 0.9821511856245845, P1: 0.015015630430919207, P2: 0.0028331839444958977, TI2: 0.0017799983199110012
time: 133.0, P0: 0.982153277646199, P1: 0.015011259652367251, P2: 0.0028354627014333003, TI2: 0.00178018505523385
time: 134.0, P0: 0.982147051198366, P1: 0.015026588621719968, P2: 0.0028263601799136317, TI2: 0.0017773089815472302
time: 135.0, P0: 0.9821533103244088, P1: 0.01501234182746563, P2: 0.0028343478481252103, TI2: 0.0017790375237160482
time: 136.0, P0: 0.9821495599683291, P1: 0.015021800079344626, P2: 0.002828639952325872, TI2: 0.0017770799839963692
time: 137.0, P0: 0.9821533260566755, P1: 0.015013452251041698, P2: 0.0028332216922823555, TI2: 0.0017778956356064076
time: 138.0, P0: 0.9821517231658866, P1: 0.015017818208108148, P2: 0.002830458626004847, TI2: 0.0017767354601178407
time: 139.0, P0: 0.9821540382083911, P1: 0.015012901392580817, P2: 0.0028330603990276352, TI2: 0.001777022190636087
time: 140.0, P0: 0.9821539252069965, P1: 0.015013732622631407, P2: 0.0028323421703716563, TI2: 0.0017764169633747195
time: 141.0, P0: 0.9821528463208385, P1: 0.015016848705757342, P2: 0.0028303049734036446, TI2: 0.0017754586525646314
time: 142.0, P0: 0.9821575360988698, P1: 0.015006298508526568, P2: 0.0028361653926031885, TI2: 0.0017766292937329436
time: 143.0, P0: 0.9821509327976606, P1: 0.015022493725150195, P2: 0.0028265734771887215, TI2: 0.0017736406795276353
time: 144.0, P0: 0.9821576106001796, P1: 0.015007229060646401, P2: 0.0028351603391735085, TI2: 0.001775549738993416
time: 145.0, P0: 0.9821549963656403, P1: 0.015013970267786163, P2: 0.0028310333665730126, TI2: 0.0017740370009321873
time: 146.0, P0: 0.9821532230920458, P1: 0.015018716780498176, P2: 0.0028280601274555, TI2: 0.0017728370354091734
time: 147.0, P0: 0.9821573856216269, P1: 0.015009401213353082, P2: 0.0028332131650195495, TI2: 0.00177382754339218
time: 148.0, P0: 0.9821535748335751, P1: 0.015018968096332377, P2: 0.0028274570700919668, TI2: 0.0017718822365163087
time: 149.0, P0: 0.9821577712110194, P1: 0.015009566780230275, P2: 0.0028326620087497805, TI2: 0.0017728907977298352
time: 150.0, P0: 0.9821552943775804, P1: 0.01501596857136555, P2: 0.0028287370510534887, TI2: 0.0017714426734725271
time: 151.0, P0: 0.9821588937469331, P1: 0.01500797578556241, P2: 0.0028331304675039046, TI2: 0.0017722367205702176
time: 152.0, P0: 0.9821561823594689, P1: 0.015014927641912793, P2: 0.002828889998617785, TI2: 0.0017707076391483617
time: 153.0, P0: 0.9821602062606745, P1: 0.015005923870820679, P2: 0.0028338698685043723, TI2: 0.0017716636078294215
time: 154.0, P0: 0.9821584090859781, P1: 0.015010704932977934, P2: 0.0028308859810434583, TI2: 0.00177047689506485
time: 155.0, P0: 0.9821576895885478, P1: 0.015012930760578089, P2: 0.0028293796508735793, TI2: 0.0017696900623252463
time: 156.0, P0: 0.9821631968578038, P1: 0.015000405474061668, P2: 0.0028363976681340082, TI2: 0.0017712008103296832
time: 157.0, P0: 0.9821542772652894, P1: 0.01502204833295321, P2: 0.0028236744017568643, TI2: 0.0017673971364669384
time: 158.0, P0: 0.982162200965008, P1: 0.015003794272914126, P2: 0.0028340047620774196, TI2: 0.0017698037970689637
time: 159.0, P0: 0.9821581295296415, P1: 0.015013948722241495, P2: 0.0028279217481163867, TI2: 0.0017677922184742667
time: 160.0, P0: 0.9821596881280121, P1: 0.015010765490773723, P2: 0.0028295463812136206, TI2: 0.0017678582532009615
time: 161.0, P0: 0.9821604262100162, P1: 0.015009523090881518, P2: 0.002830050699101725, TI2: 0.001767624489084966
time: 162.0, P0: 0.9821606372657622, P1: 0.015009526380902104, P2: 0.0028298363533351754, TI2: 0.0017671990875724535
time: 163.0, P0: 0.9821618416771662, P1: 0.015007174267583722, P2: 0.002830984055249505, TI2: 0.00176714237808273
time: 164.0, P0: 0.9821612341425713, P1: 0.015009111276928128, P2: 0.002829654580500097, TI2: 0.0017664204379283207
time: 165.0, P0: 0.9821638594150227, P1: 0.015003388646082976, P2: 0.0028327519388938707, TI2: 0.0017668925238707167
time: 166.0, P0: 0.9821602469290708, P1: 0.01501243794547482, P2: 0.0028273151254538595, TI2: 0.001765068196382537
time: 167.0, P0: 0.9821661207520769, P1: 0.014999015868875346, P2: 0.002834863379047319, TI2: 0.0017667426269699815
time: 168.0, P0: 0.9821625660517926, P1: 0.015007923250703877, P2: 0.002829510697503001, TI2: 0.0017649446457098776
time: 169.0, P0: 0.9821610746763689, P1: 0.015011941023038483, P2: 0.0028269843005921114, TI2: 0.0017639096242227045
time: 170.0, P0: 0.9821646589437537, P1: 0.015003934369179206, P2: 0.0028314066870665797, TI2: 0.001764747743312364
time: 171.0, P0: 0.9821621072289619, P1: 0.015010458648435856, P2: 0.002827434122601714, TI2: 0.0017633268936392823
time: 172.0, P0: 0.9821652723250471, P1: 0.015003439875512746, P2: 0.0028312877994395957, TI2: 0.0017640154743919347
time: 173.0, P0: 0.9821632553144918, P1: 0.015008692755436316, P2: 0.0028280519300714216, TI2: 0.0017627966155791565
time: 174.0, P0: 0.982166763917243, P1: 0.015000855472546204, P2: 0.0028323806102103673, TI2: 0.0017636166929669358
time: 175.0, P0: 0.9821637555551729, P1: 0.015008451552052786, P2: 0.002827792892773873, TI2: 0.0017620373376005293
time: 176.0, P0: 0.982167694334405, P1: 0.014999590528687014, P2: 0.0028327151369075473, TI2: 0.0017630208025021087
time: 177.0, P0: 0.9821672734428923, P1: 0.015001053223420265, P2: 0.002831673333687021, TI2: 0.0017623998907943057
time: 178.0, P0: 0.9821623445531376, P1: 0.01501319096324223, P2: 0.0028244644836198916, TI2: 0.001760119930482011
time: 179.0, P0: 0.9821680488198056, P1: 0.015000141111636014, P2: 0.002831810068558063, TI2: 0.0017617612487521386
time: 180.0, P0: 0.9821640867352446, P1: 0.015009984182100328, P2: 0.0028259290826546826, TI2: 0.001759842347409691
time: 181.0, P0: 0.9821681639382751, P1: 0.015000783397482682, P2: 0.0028310526642418015, TI2: 0.0017608887259662833
time: 182.0, P0: 0.982165898197923, P1: 0.015006603883856814, P2: 0.002827497918219841, TI2: 0.0017595997202964936
time: 183.0, P0: 0.9821691799809323, P1: 0.014999282423390768, P2: 0.002831537595676477, TI2: 0.0017603576147437196
time: 184.0, P0: 0.9821675156948014, P1: 0.015003673682850657, P2: 0.0028288106223475374, TI2: 0.0017592949275457286
time: 185.0, P0: 0.9821685668783072, P1: 0.01500163089614656, P2: 0.0028298022255458656, TI2: 0.00175923534723829
time: 186.0, P0: 0.9821714864100834, P1: 0.014995160532992161, P2: 0.0028333530569240708, TI2: 0.0017598666468403004
time: 187.0, P0: 0.9821644391730817, P1: 0.015012294721690037, P2: 0.0028232661052278243, TI2: 0.0017568269321456833
time: 188.0, P0: 0.9821704963115432, P1: 0.014998388207366084, P2: 0.002831115481090446, TI2: 0.0017586191695469742
time: 189.0, P0: 0.9821673162322224, P1: 0.015006358297964574, P2: 0.0028263254698126282, TI2: 0.0017570092375898303
time: 190.0, P0: 0.9821703170311316, P1: 0.014999686386070911, P2: 0.002829996582797226, TI2: 0.0017576795516653604
time: 191.0, P0: 0.9821692401842531, P1: 0.01500267036889515, P2: 0.002828089446851396, TI2: 0.0017568492625979395
time: 192.0, P0: 0.9821709239465825, P1: 0.014999113471240706, P2: 0.002829962582176555, TI2: 0.0017570386355938133
time: 193.0, P0: 0.9821712312456855, P1: 0.014998814590600786, P2: 0.002829954163713459, TI2: 0.0017567229180277036
time: 194.0, P0: 0.9821694844489098, P1: 0.015003378746598154, P2: 0.002827136804491721, TI2: 0.0017556523555815953
time: 195.0, P0: 0.9821746811237638, P1: 0.014991494722649358, P2: 0.0028338241535864673, TI2: 0.0017571430298222918
time: 196.0, P0: 0.982168123351853, P1: 0.01500744956858682, P2: 0.0028244270795599003, TI2: 0.0017543037277066196
time: 197.0, P0: 0.9821720199702589, P1: 0.01499864044852045, P2: 0.0028293395812202943, TI2: 0.0017553196109610376
time: 198.0, P0: 0.9821711866062427, P1: 0.015001032401783436, P2: 0.002827780991973603, TI2: 0.0017545943857306407
time: 199.0, P0: 0.9821718526774784, P1: 0.014999870711612176, P2: 0.0028282766109090193, TI2: 0.0017544239334302144
time: 200.0, P0: 0.9821726850243886, P1: 0.014998313055064825, P2: 0.0028290019205462528, TI2: 0.0017543168961573299
time: 201.0, P0: 0.9821722711882388, P1: 0.014999704927933531, P2: 0.002828023883827282, TI2: 0.001753752695588096
time: 202.0, P0: 0.9821745550656921, P1: 0.014994705006319829, P2: 0.002830739927987752, TI2: 0.0017541848622953328
time: 203.0, P0: 0.9821710897709206, P1: 0.015003320212951485, P2: 0.002825590016127515, TI2: 0.0017525002452065154
time: 204.0, P0: 0.9821768489358392, P1: 0.01499008469299586, P2: 0.0028330663711645, TI2: 0.0017542174353248595
time: 205.0, P0: 0.9821724779927081, P1: 0.01500084080847082, P2: 0.0028266811988206706, TI2: 0.0017522032061121607
time: 206.0, P0: 0.9821728419830655, P1: 0.015000379902084667, P2: 0.0028267781148494184, TI2: 0.0017519361317835042
time: 207.0, P0: 0.9821749606218868, P1: 0.01499576096269979, P2: 0.0028292784154130076, TI2: 0.0017523177935258045
time: 208.0, P0: 0.9821730056485435, P1: 0.015000788548289332, P2: 0.0028262058031666604, TI2: 0.0017512001546226518
time: 209.0, P0: 0.9821758144255491, P1: 0.014994530891737058, P2: 0.0028296546827133373, TI2: 0.001751840257163732
time: 210.0, P0: 0.9821736075014288, P1: 0.015000151172608292, P2: 0.002826241325962417, TI2: 0.0017506338245331244
time: 211.0, P0: 0.982177256781079, P1: 0.014991898697145007, P2: 0.0028308445217755263, TI2: 0.0017515877406960585
time: 212.0, P0: 0.9821737894217198, P1: 0.015000500365854636, P2: 0.002825710212425089, TI2: 0.0017499207907048131
time: 213.0, P0: 0.9821780918894759, P1: 0.0149906967789787, P2: 0.0028312113315449184, TI2: 0.001751119442068537
time: 214.0, P0: 0.9821768202384542, P1: 0.014994093813914615, P2: 0.0028290859476307736, TI2: 0.0017502657091761616
